Temperature,REGULAR,ABNORMAL,NECROTIC,UNFERTILIZED,NONVIABLE,Total,Temperature,regular,abnormal,necrotic,unfertilized,nonviable,viable#,fert success %,female,temp,,Data for stacked bar chart,,,,,
-1.5,2,23,1,48,61,135,-1.5,1.48,17.04,0.74,35.56,45.19,74,2.703,F5,-1.5,,temp,regular,abn,necro,unfert,nonv
0.3,49,30,47,28,24,178,0.3,27.53,16.85,26.4,15.73,13.48,154,31.818,F5,0.3,,-1.5,44.21,21.08,3.42,18.88,12.41
2.2,80,15,40,50,3,188,2.2,42.55,7.98,21.28,26.6,1.6,185,43.243,F5,2.2,,0.3,67.77,7.29,8.14,12.06,4.74
3.8,90,10,21,27,8,156,3.8,57.69,6.41,13.46,17.31,5.13,148,60.811,F5,3.8,,2.2,77.2,3.71,6.1,10.13,2.86
5.4,101,4,26,33,11,175,5.4,57.71,2.29,14.86,18.86,6.29,164,61.585,F5,5.4,,3.8,81.12,1.58,5.15,9.22,2.92
6.9,131,3,12,19,10,175,6.9,74.86,1.71,6.86,10.86,5.71,165,79.394,F5,6.9,,5.4,81.54,1.34,6.66,8.17,2.29
8.2,135,4,14,28,10,191,8.2,70.68,2.09,7.33,14.66,5.24,181,74.586,F5,8.2,,6.9,85.57,1.02,4.97,6.23,2.21
9.4,143,2,16,11,13,185,9.4,77.3,1.08,8.65,5.95,7.03,172,83.14,F5,9.4,,8.2,85.5,1.18,2.72,8.72,1.87
10.8,129,13,8,15,12,177,10.8,72.88,7.34,4.52,8.47,6.78,165,78.182,F5,10.8,,9.4,82.63,2.8,5.11,7.38,2.08
12,69,8,20,8,6,111,12,62.16,7.21,18.02,7.21,5.41,105,65.714,F5,12,,10.8,79.66,3.56,2.98,10.6,3.2
-1.5,47,45,3,15,2,112,-1.5,41.96,40.18,2.68,13.39,1.79,110,42.727,F4,-1.5,,12,66.98,8.95,11.48,9.35,3.25
0.3,100,8,8,9,2,127,0.3,78.74,6.3,6.3,7.09,1.57,125,80,F4,0.3,,,,,,,
2.2,100,3,7,10,2,122,2.2,81.97,2.46,5.74,8.2,1.64,120,83.333,F4,2.2,,,,,,,
3.8,119,1,11,9,1,141,3.8,84.4,0.71,7.8,6.38,0.71,140,85,F4,3.8,,,,,,,
5.4,109,2,14,9,2,136,5.4,80.15,1.47,10.29,6.62,1.47,134,81.343,F4,5.4,,,,,,,
6.9,124,3,11,7,0,145,6.9,85.52,2.07,7.59,4.83,0,145,85.517,F4,6.9,,,,,,,
8.2,107,4,7,11,0,129,8.2,82.95,3.1,5.43,8.53,0,129,82.946,F4,8.2,,,,,,,
9.4,111,7,12,8,0,138,9.4,80.43,5.07,8.7,5.8,0,138,80.435,F4,9.4,,,,,,,
10.8,115,5,2,15,2,139,10.8,82.73,3.6,1.44,10.79,1.44,137,83.942,F4,10.8,,,,,,,
12,60,26,8,12,0,106,12,56.6,24.53,7.55,11.32,0,106,56.604,F4,12,,,,,,,
-1.5,85,6,7,11,3,112,-1.5,75.89,5.36,6.25,9.82,2.68,109,77.982,F3,-1.5,,,,,,,
0.3,100,1,1,15,1,118,0.3,84.75,0.85,0.85,12.71,0.85,117,85.47,F3,0.3,,,,,,,
2.2,93,0,0,2,3,98,2.2,94.9,0,0,2.04,3.06,95,97.895,F3,2.2,,,,,,,
3.8,103,0,0,10,0,113,3.8,91.15,0,0,8.85,0,113,91.15,F3,3.8,,,,,,,
5.4,105,0,1,7,0,113,5.4,92.92,0,0.88,6.19,0,113,92.92,F3,5.4,,,,,,,
6.9,114,0,12,7,0,133,6.9,85.71,0,9.02,5.26,0,133,85.714,F3,6.9,,,,,,,
8.2,103,0,1,15,0,119,8.2,86.55,0,0.84,12.61,0,119,86.555,F3,8.2,,,,,,,
9.4,95,2,7,9,0,113,9.4,84.07,1.77,6.19,7.96,0,113,84.071,F3,9.4,,,,,,,
10.8,90,3,3,12,1,109,10.8,82.57,2.75,2.75,11.01,0.92,108,83.333,F3,10.8,,,,,,,
12,54,1,18,6,1,80,12,67.5,1.25,22.5,7.5,1.25,79,68.354,F3,12,,,,,,,
-1.5,51,31,7,12,4,105,-1.5,48.57,29.52,6.67,11.43,3.81,101,50.495,F2,-1.5,,,,,,,
0.3,126,11,3,11,1,152,0.3,82.89,7.24,1.97,7.24,0.66,151,83.444,F2,0.3,,,,,,,
2.2,134,0,4,11,1,150,2.2,89.33,0,2.67,7.33,0.67,149,89.933,F2,2.2,,,,,,,
3.8,145,0,2,5,5,157,3.8,92.36,0,1.27,3.18,3.18,152,95.395,F2,3.8,,,,,,,
5.4,131,0,2,10,0,143,5.4,91.61,0,1.4,6.99,0,143,91.608,F2,5.4,,,,,,,
6.9,130,0,1,6,2,139,6.9,93.53,0,0.72,4.32,1.44,137,94.891,F2,6.9,,,,,,,
8.2,131,1,0,6,0,138,8.2,94.93,0.72,0,4.35,0,138,94.928,F2,8.2,,,,,,,
9.4,125,1,0,18,0,144,9.4,86.81,0.69,0,12.5,0,144,86.806,F2,9.4,,,,,,,
10.8,115,2,1,24,3,145,10.8,79.31,1.38,0.69,16.55,2.07,142,80.986,F2,10.8,,,,,,,
12,64,0,2,12,3,81,12,79.01,0,2.47,14.81,3.7,78,82.051,F2,12,,,,,,,
-1.5,68,17,1,31,11,128,-1.5,53.13,13.28,0.78,24.22,8.59,117,58.12,F1,-1.5,,,,,,,
0.3,100,8,8,27,11,154,0.3,64.94,5.19,5.19,17.53,7.14,143,69.93,F1,0.3,,,,,,,
2.2,95,10,1,8,9,123,2.2,77.24,8.13,0.81,6.5,7.32,114,83.333,F1,2.2,,,,,,,
3.8,100,1,4,13,7,125,3.8,80,0.8,3.2,10.4,5.6,118,84.746,F1,3.8,,,,,,,
5.4,116,4,8,3,5,136,5.4,85.29,2.94,5.88,2.21,3.68,131,88.55,F1,5.4,,,,,,,
6.9,135,2,1,9,6,153,6.9,88.24,1.31,0.65,5.88,3.92,147,91.837,F1,6.9,,,,,,,
8.2,134,0,0,5,6,145,8.2,92.41,0,0,3.45,4.14,139,96.403,F1,8.2,,,,,,,
9.4,126,8,3,7,5,149,9.4,84.56,5.37,2.01,4.7,3.36,144,87.5,F1,9.4,,,,,,,
10.8,118,4,8,9,7,146,10.8,80.82,2.74,5.48,6.16,4.79,139,84.892,F1,10.8,,,,,,,
12,71,12,7,6,6,102,12,69.61,11.76,6.86,5.88,5.88,96,73.958,F1,12,,,,,,,
